Year,HDB 1- & 2- Room Flats1/,HDB 3-Room Flats,HDB 4-Room Flats,HDB 5-Room & Executive Flats,Condominiums & Other Apartments,Landed Properties
2022,3189,6374,9220,12390,19936,25193
2021,2829,6132,8685,11784,18483,23951
2020,2667,5728,8347,11392,19254,26420
2019,2565,5859,8459,11375,19529,25978
2018,2460,5767,8248,11392,19116,25724
2017,2435,5730,8209,11226,19072,25327
2016,2418,5655,7971,10947,18797,24231
2015,2394,5571,7773,10971,19136,24296
2014,2065,5202,7416,10515,18754,26270
2013,2032,5041,7134,10130,18267,22936
2012,2007,4955,6836,9723,17970,24420
2011,1890,4688,6496,9244,17075,23107
2010,1716,4344,5857,8374,15457,20095
2009,1627,4087,5542,8017,14856,18761
2008,1629,4101,5475,8198,15208,19534
2007,1426,3595,4905,7255,13746,18106
2006,1521,3304,4520,6741,12302,15972
2005,1538,3302,4404,6624,11918,14791
2004,1496,3140,4147,6123,11348,15000
2003,1422,3159,4104,6198,11130,13638
2002,1552,3133,4142,6348,11232,13621
2001,1521,3432,4359,6493,12280,14113
2000,1762,3369,4252,6279,11431,14398
